"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","417","test_put_meme_id[new_body0]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","186","test_post_authorize_negative[None]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","198","test_get_authorize_token","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","221","test_get_meme_id_negative[1613]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","200","test_post_meme_negative[body2]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","430","test_post_meme[body2]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","422","test_post_meme[body3]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","211","test_put_meme_id[new_body0]","tests","2026-08-15","broken","2026-08-15","TestApiMemes","test_API_memes","",""
"","207","test_try_put_meme_id_negative_auth[HW2USKXin4J7zz9]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","439","test_post_meme[body1]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","404","test_post_meme[body0]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","217","test_try_put_meme_id_negative[!@]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","189","test_delete_meme_id_negative_auth[HW2USKXin4J7zz9]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","188","test_get_meme_id_negative[!@]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","198","test_post_meme_negative[body5]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","208","test_delete_meme_id_negative[None]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","207","test_delete_meme_id_negative[!@]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","206","test_delete_meme_id_negative[1613]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","206","test_post_meme_negative[body0]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","185","test_get_authorize_token_negative_auth[HW2USKXin4J7zz9]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","193","test_get_memes_negative_auth[HW2USKXin4J7zz9]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","207","test_try_put_meme_id_negative[None]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","196","test_get_meme_id_negative[]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","205","test_delete_meme_id_negative[]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","487","test_get_memes","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","202","test_try_put_meme_id_negative[1613]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","185","test_post_authorize_negative[name1]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","194","test_post_meme_negative[body1]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","200","test_get_meme_id_negative_auth[HW2USKXin4J7zz9]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","204","test_post_meme_negative[body3]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","191","test_get_meme_id_negative[\u044f \u043a\u0440\u043e\u043a\u043e\u0434\u0438\u043b, \u043a\u0440\u043e\u043a\u043e\u0436\u0443 \u0438 \u0431\u0443\u0434\u0443 \u043a\u0440\u043e\u043a\u043e\u0434\u0438\u0442\u044c]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","208","test_post_meme_negative[body7]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","231","test_post_meme_negative[body6]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","219","test_post_meme_negative[body4]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","209","test_get_meme_id","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","200","test_get_meme_id_negative[None]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","381","test_put_meme_id[new_body3]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","221","test_post_meme_negative_auth[HW2USKXin4J7zz9]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","210","test_try_put_meme_id_negative[]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","220","test_post_authorize","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","411","test_put_meme_id[new_body1]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","643","test_delete_meme_id","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","206","test_try_put_meme_id_negative[\u044f \u043a\u0440\u043e\u043a\u043e\u0434\u0438\u043b, \u043a\u0440\u043e\u043a\u043e\u0436\u0443 \u0438 \u0431\u0443\u0434\u0443 \u043a\u0440\u043e\u043a\u043e\u0434\u0438\u0442\u044c]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","200","test_delete_meme_id_negative[\u044f \u043a\u0440\u043e\u043a\u043e\u0434\u0438\u043b, \u043a\u0440\u043e\u043a\u043e\u0436\u0443 \u0438 \u0431\u0443\u0434\u0443 \u043a\u0440\u043e\u043a\u043e\u0434\u0438\u0442\u044c]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
"","388","test_put_meme_id[new_body2]","tests","2026-08-15","passed","2026-08-15","TestApiMemes","test_API_memes","",""
"","199","test_post_authorize_negative[name0]","tests","2026-08-15","passed","2026-08-15","TestApiMemesNegative","test_API_negative","",""
